RO number, RO status, Line A, Line B, Line C, Open Date
870283,PREASSIGNED,,,,15JAN26
870283,PREASSIGNED,CHANGE OIL & FILTER      ,E REPAIR OR REPLACE      ,CK AND ADJUST TIRE PRESSU,15JAN26
870463,OPENED,NING LIGHTS ON           ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,17JAN26
870556,VEH,ERAL REPAIR              ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18JAN26
870765,OPENED,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20JAN26
870943,READY TO POST,NOT GO IN GEAR           ,,,21JAN26
871814,VEH,CK TIRES                 ,LACE 2 TIRES  MOUNT AND B,CK AND ADJUST TIRE PRESSU,29JAN26
872152,OPENED,DOOR COVER MISSING       ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,02FEB26
872350,PREASSIGNED,VICE CK AND ROTATE TIRES ,E REPAIR OR REPLACE      ,CK AND ADJUST TIRE PRESSU,04FEB26
872452,WORKING,ctric Vehicle Sound Level,NT COLLISION NOT AVAILABL,SURE AND DOCUMENT TIRE TR,05FEB26
872519,OPENED,LACE OIL AND FILTER  PERF,AIR 1 TIRE  BALANCE  ADJU,SURE AND DOCUMENT TIRE TR,05FEB26
872584,PREASSIGNED,RID CONTROL PROCESSOR SOF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,06FEB26
872970,PREASSIGNED,TERY  TEST  REMOVE AND RE,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,10FEB26
872975,PREASSIGNED,PENSION DAMAGE INSPECTION,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,10FEB26
872978,OPENED,TERY  TEST  REMOVE AND RE,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,10FEB26
872979,OPENED,TERY  TEST  REMOVE AND RE,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,10FEB26
873127,LINE ON HOLD,CHANGE OIL & FILTER      ,LACE 1 TIRE  MOUNT AND BA,CK BRAKE CONCERN         ,11FEB26
873135,OPENED,CHANGE OIL & FILTER      ,FOB BATTERY              ,CK AND ADJUST TIRE PRESSU,11FEB26
873210,OPENED,LACE 2 TIRES  MOUNT AND B,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,12FEB26
873223,OPENED,ERAL REPAIR              ,E REPAIR OR REPLACE      ,VICE CK AND ROTATE TIRES ,12FEB26
873235,OPENED,E CURTAIN AIRBAG         ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,13FEB26
873280,OPENED,TES CHECK TURN SIGNALS   ,,,13FEB26
873318,LINE ON HOLD,CK ENGINE LIGHT ON  DIAG ,NING LIGHTS ON           ,AN ENGINE                ,13FEB26
873403,VEH,CK TAIL LIGHT            ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,16FEB26
873416,WORKING,E CURTAIN AIRBAG         ,START                    ,CK AND ADJUST TIRE PRESSU,16FEB26
873422,OPENED,INE LIGHT ON             ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,16FEB26
873451,PREASSIGNED,CK ENGINE LIGHT ON  DIAG ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,16FEB26
873455,OPENED,CHANGE OIL & FILTER      ,CK ENGINE LIGHT ON  DIAG ,CK AND ADJUST TIRE PRESSU,16FEB26
873534,OPENED,TERY  TEST  REMOVE AND RE,TERY  TEST  REMOVE AND RE,,17FEB26
873553,PREASSIGNED,NKER ARM                 ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,17FEB26
