ValidateRoList log started: 2/24/2026 9:39:18 AM | Init
2/24/2026 9:39:28 AM | TIMEOUT after 10000ms
2/24/2026 9:39:28 AM | Performing expanded retry scan from top of screen
2/24/2026 9:39:28 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:39:39 AM | TIMEOUT after 10000ms
2/24/2026 9:39:39 AM | Performing expanded retry scan from top of screen
2/24/2026 9:39:39 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:39:50 AM | TIMEOUT after 10000ms
2/24/2026 9:39:50 AM | Performing expanded retry scan from top of screen
2/24/2026 9:39:50 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:40:01 AM | TIMEOUT after 10000ms
2/24/2026 9:40:01 AM | Performing expanded retry scan from top of screen
2/24/2026 9:40:01 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:40:11 AM | TIMEOUT after 10000ms
2/24/2026 9:40:11 AM | Performing expanded retry scan from top of screen
2/24/2026 9:40:11 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:40:22 AM | TIMEOUT after 10000ms
2/24/2026 9:40:22 AM | Performing expanded retry scan from top of screen
2/24/2026 9:40:22 AM | EXPANDED MATCH -> NOT ON FILE
ValidateRoList log started: 2/24/2026 9:41:19 AM | Init
2/24/2026 9:41:25 AM | TIMEOUT after 5000ms
2/24/2026 9:41:25 AM | Performing expanded retry scan from top of screen
2/24/2026 9:41:25 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:41:31 AM | TIMEOUT after 5000ms
2/24/2026 9:41:31 AM | Performing expanded retry scan from top of screen
2/24/2026 9:41:31 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:41:36 AM | TIMEOUT after 5000ms
2/24/2026 9:41:36 AM | Performing expanded retry scan from top of screen
2/24/2026 9:41:36 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:41:42 AM | TIMEOUT after 5000ms
2/24/2026 9:41:42 AM | Performing expanded retry scan from top of screen
2/24/2026 9:41:42 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:41:48 AM | TIMEOUT after 5000ms
2/24/2026 9:41:48 AM | Performing expanded retry scan from top of screen
2/24/2026 9:41:48 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:41:53 AM | TIMEOUT after 5000ms
2/24/2026 9:41:53 AM | Performing expanded retry scan from top of screen
2/24/2026 9:41:53 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:41:59 AM | TIMEOUT after 5000ms
2/24/2026 9:41:59 AM | Performing expanded retry scan from top of screen
2/24/2026 9:41:59 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:42:05 AM | TIMEOUT after 5000ms
2/24/2026 9:42:05 AM | Performing expanded retry scan from top of screen
2/24/2026 9:42:05 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:42:11 AM | TIMEOUT after 5000ms
2/24/2026 9:42:11 AM | Performing expanded retry scan from top of screen
2/24/2026 9:42:11 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:42:16 AM | TIMEOUT after 5000ms
2/24/2026 9:42:16 AM | Performing expanded retry scan from top of screen
2/24/2026 9:42:16 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:42:22 AM | TIMEOUT after 5000ms
2/24/2026 9:42:22 AM | Performing expanded retry scan from top of screen
2/24/2026 9:42:22 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:42:28 AM | TIMEOUT after 5000ms
2/24/2026 9:42:28 AM | Performing expanded retry scan from top of screen
2/24/2026 9:42:28 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:42:33 AM | TIMEOUT after 5000ms
2/24/2026 9:42:33 AM | Performing expanded retry scan from top of screen
2/24/2026 9:42:33 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:42:39 AM | TIMEOUT after 5000ms
2/24/2026 9:42:39 AM | Performing expanded retry scan from top of screen
2/24/2026 9:42:39 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:42:45 AM | TIMEOUT after 5000ms
2/24/2026 9:42:45 AM | Performing expanded retry scan from top of screen
2/24/2026 9:42:45 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:42:51 AM | TIMEOUT after 5000ms
2/24/2026 9:42:51 AM | Performing expanded retry scan from top of screen
2/24/2026 9:42:51 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:42:56 AM | TIMEOUT after 5000ms
2/24/2026 9:42:56 AM | Performing expanded retry scan from top of screen
2/24/2026 9:42:56 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:43:02 AM | TIMEOUT after 5000ms
2/24/2026 9:43:02 AM | Performing expanded retry scan from top of screen
2/24/2026 9:43:02 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:43:08 AM | TIMEOUT after 5000ms
2/24/2026 9:43:08 AM | Performing expanded retry scan from top of screen
2/24/2026 9:43:08 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:43:14 AM | TIMEOUT after 5000ms
2/24/2026 9:43:14 AM | Performing expanded retry scan from top of screen
2/24/2026 9:43:14 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:43:19 AM | TIMEOUT after 5000ms
2/24/2026 9:43:19 AM | Performing expanded retry scan from top of screen
2/24/2026 9:43:19 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:43:25 AM | TIMEOUT after 5000ms
2/24/2026 9:43:25 AM | Performing expanded retry scan from top of screen
2/24/2026 9:43:25 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:43:31 AM | TIMEOUT after 5000ms
2/24/2026 9:43:31 AM | Performing expanded retry scan from top of screen
2/24/2026 9:43:31 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:43:36 AM | TIMEOUT after 5000ms
2/24/2026 9:43:36 AM | Performing expanded retry scan from top of screen
2/24/2026 9:43:36 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:43:42 AM | TIMEOUT after 5000ms
2/24/2026 9:43:42 AM | Performing expanded retry scan from top of screen
2/24/2026 9:43:42 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:43:48 AM | TIMEOUT after 5000ms
2/24/2026 9:43:48 AM | Performing expanded retry scan from top of screen
2/24/2026 9:43:48 AM | EXPANDED MATCH -> (PFC) POST FINAL CHARGES
2/24/2026 9:43:54 AM | TIMEOUT after 5000ms
2/24/2026 9:43:54 AM | Performing expanded retry scan from top of screen
2/24/2026 9:43:59 AM | TIMEOUT after 5000ms
2/24/2026 9:43:59 AM | Performing expanded retry scan from top of screen
2/24/2026 9:43:59 AM | EXPANDED MATCH -> (PFC) POST FINAL CHARGES
2/24/2026 9:44:05 AM | TIMEOUT after 5000ms
2/24/2026 9:44:05 AM | Performing expanded retry scan from top of screen
2/24/2026 9:44:11 AM | TIMEOUT after 5000ms
2/24/2026 9:44:11 AM | Performing expanded retry scan from top of screen
2/24/2026 9:44:11 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:44:16 AM | TIMEOUT after 5000ms
2/24/2026 9:44:16 AM | Performing expanded retry scan from top of screen
2/24/2026 9:44:16 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:44:22 AM | TIMEOUT after 5000ms
2/24/2026 9:44:22 AM | Performing expanded retry scan from top of screen
2/24/2026 9:44:22 AM | EXPANDED MATCH -> (PFC) POST FINAL CHARGES
2/24/2026 9:44:28 AM | TIMEOUT after 5000ms
2/24/2026 9:44:28 AM | Performing expanded retry scan from top of screen
2/24/2026 9:44:34 AM | TIMEOUT after 5000ms
2/24/2026 9:44:34 AM | Performing expanded retry scan from top of screen
2/24/2026 9:44:34 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:44:39 AM | TIMEOUT after 5000ms
2/24/2026 9:44:39 AM | Performing expanded retry scan from top of screen
2/24/2026 9:44:39 AM | EXPANDED MATCH -> (PFC) POST FINAL CHARGES
2/24/2026 9:44:45 AM | TIMEOUT after 5000ms
