RO number, RO status, Line A, Line B, Line C, Open Date
870283,PREASSIGNED,CHANGE OIL & FILTER      ,E REPAIR OR REPLACE      ,CK AND ADJUST TIRE PRESSU,15JAN26
870393,OPENED,CK ENGINE LIGHT ON  DIAG ,ERAL REPAIR              ,,16JAN26
870450,OPENED,CHANGE OIL & FILTER      ,LACE 4 TIRES  MOUNT AND B,CK AND ADJUST TIRE PRESSU,17JAN26
870463,OPENED,NING LIGHTS ON           ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,17JAN26
870556,VEH,ERAL REPAIR              ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18JAN26
870765,OPENED,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20JAN26
870943,VEH,NOT GO IN GEAR           ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21JAN26
870975,READY TO POST,TER BLOWS COLD AIR       ,,,21JAN26
871814,VEH,CK TIRES                 ,LACE 2 TIRES  MOUNT AND B,CK AND ADJUST TIRE PRESSU,29JAN26
872152,OPENED,DOOR COVER MISSING       ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,02FEB26
872350,PREASSIGNED,VICE CK AND ROTATE TIRES ,E REPAIR OR REPLACE      ,CK AND ADJUST TIRE PRESSU,04FEB26
872452,PREASSIGNED,ctric Vehicle Sound Level,NT COLLISION NOT AVAILABL,SURE AND DOCUMENT TIRE TR,05FEB26
872478,READY TO POST,CK TRANSMISSION          ,T DRIVE DIAGNOSE COMPLIAN,SURE AND DOCUMENT TIRE TR,05FEB26
872519,OPENED,LACE OIL AND FILTER  PERF,AIR 1 TIRE  BALANCE  ADJU,SURE AND DOCUMENT TIRE TR,05FEB26
872584,PREASSIGNED,RID CONTROL PROCESSOR SOF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,06FEB26
872641,READY TO POST,CK PARK SENSOR  MALFUNCTI,CK VEHICLE; MULTIPLE MODU,SURE AND DOCUMENT TIRE TR,06FEB26
872970,PREASSIGNED,TERY  TEST  REMOVE AND RE,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,10FEB26
872975,PREASSIGNED,PENSION DAMAGE INSPECTION,,,10FEB26
872978,OPENED,TERY  TEST  REMOVE AND RE,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,10FEB26
873059,READY TO POST,TES OIL LEAK             ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,11FEB26
873101,OPENED,DOOR NOT OPEN            ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,11FEB26
873127,LINE ON HOLD,CHANGE OIL & FILTER      ,LACE 1 TIRE  MOUNT AND BA,CK BRAKE CONCERN         ,11FEB26
873135,OPENED,CHANGE OIL & FILTER      ,FOB BATTERY              ,CK AND ADJUST TIRE PRESSU,11FEB26
873210,OPENED,LACE 2 TIRES  MOUNT AND B,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,12FEB26
873223,OPENED,ERAL REPAIR              ,E REPAIR OR REPLACE      ,VICE CK AND ROTATE TIRES ,12FEB26
873224,READY TO POST,ERAL REPAIR              ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,12FEB26
873235,OPENED,E CURTAIN AIRBAG         ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,13FEB26
873271,READY TO POST,WON'T START              ,SUSPENSION DAMAGE        ,SURE AND DOCUMENT TIRE TR,13FEB26
873275,READY TO POST,egrated Park Module Softw,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,13FEB26
873276,READY TO POST,CK BRAKE FAULT LIGHT ON  ,TERY  TEST  REMOVE AND RE,SURE AND DOCUMENT TIRE TR,13FEB26
873280,OPENED,TES CHECK TURN SIGNALS   ,,,13FEB26
873318,LINE ON HOLD,CK ENGINE LIGHT ON  DIAG ,NING LIGHTS ON           ,AN ENGINE                ,13FEB26
873403,VEH,CK TAIL LIGHT            ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,16FEB26
873416,LINE ON HOLD,E CURTAIN AIRBAG         ,START                    ,CK AND ADJUST TIRE PRESSU,16FEB26
873422,OPENED,INE LIGHT ON             ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,16FEB26
873451,PREASSIGNED,CK ENGINE LIGHT ON  DIAG ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,16FEB26
873455,OPENED,CHANGE OIL & FILTER      ,CK ENGINE LIGHT ON  DIAG ,CK AND ADJUST TIRE PRESSU,16FEB26
873487,READY TO POST,LACE 1 TIRE  MOUNT AND BA,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,16FEB26
873495,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,16FEB26
873503,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,17FEB26
873507,READY TO POST,TERY  TEST  REMOVE AND RE,CK CRASH MITIGATION SYSTE,CK AND ADJUST TIRE PRESSU,17FEB26
873511,READY TO POST,CK OIL LEAK              ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,17FEB26
873517,READY TO POST,ICLE SHAKES CHECK FRONT E,E BALANCE 1-4            ,LACE 1 TIRE  MOUNT AND BA,17FEB26
873521,READY TO POST,TERY  TEST  REMOVE AND RE,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,17FEB26
873525,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,17FEB26
873530,READY TO POST,ATE MILEAGE              ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,17FEB26
873534,OPENED,TERY  TEST  REMOVE AND RE,TERY  TEST  REMOVE AND RE,,17FEB26
873538,READY TO POST,CK ENGINE LIGHT ON  DIAG ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,17FEB26
873542,READY TO POST,OUND INSPECT VEHICLE     ,,,17FEB26
873546,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,17FEB26
873550,READY TO POST,NT CAMERA CALIBRATION    ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,17FEB26
873552,READY TO POST,CONDITIONING INOP        ,,,17FEB26
873553,PREASSIGNED,NKER ARM                 ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,17FEB26
873555,READY TO POST,START                    ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,17FEB26
873556,READY TO POST,CK OIL LEAK              ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,17FEB26
873559,READY TO POST,TER BATTERY TERMINAL BOOT,R VIEW CAMERA HARNESS    ,,17FEB26
873561,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,17FEB26
