MVA,Status
UNKNOWN,DEFECTIVE RO
869369,READY TO POST
869369,READY TO POST
873318,LINE ON HOLD
873861,WORKING
874525,VEH. DISABLED
874679,WORKING
875654,VEH. DISABLED
AEWXSN131870,VEH. DISABLED
877562,VEH. DISABLED
878623,PREASSIGNED
878750,PREASSIGNED
878835,OPENED
878899,READY TO POST
879044,OPENED
879071,OPENED
879081,PREASSIGNED
879095,OPENED
879098,PREASSIGNED
879181,VEH. DISABLED
879199,PREASSIGNED
879202,READY TO POST
879250,VEH. DISABLED
879367,OPENED
879389,OPENED
879454,VEH. DISABLED
879476,OPENED
879520,PREASSIGNED
879527,OPENED
879851,OPENED
AEW4TN143028,PREASSIGNED
879906,OPENED
879919,OPENED
879969,OPENED
879970,OPENED
879978,PREASSIGNED
879990,VEH. DISABLED
880125,OPENED
880147,PREASSIGNED
880160,PREASSIGNED
880161,OPENED
880170,PREASSIGNED
880226,WORKING
880258,PREASSIGNED
880343,VEH. DISABLED
880352,OPENED
880395,OPENED
880412,VEH. DISABLED
880434,PREASSIGNED
880446,OPENED
880448,OPENED
880456,LINE ON HOLD
880507,OPENED
880521,PREASSIGNED
880523,OPENED
880567,OPENED
880591,PREASSIGNED
880625,PREASSIGNED
880656,PREASSIGNED
880722,OPENED
880725,PREASSIGNED
880742,OPENED
880813,PREASSIGNED
880912,OPENED
880914,PREASSIGNED
880963,PREASSIGNED
881032,OPENED
881075,OPENED
881107,OPENED
881150,PREASSIGNED
881159,OPENED
881175,OPENED
881229,VEH. DISABLED
881264,OPENED
881302,OPENED
881323,PREASSIGNED
881330,OPENED
881367,OPENED
881398,OPENED
UNKNOWN,technicians and
881403,READY TO POST
881545,OPENED
881590,OPENED
881638,PREASSIGNED
881640,OPENED
881649,OPENED
881669,PREASSIGNED
881692,PREASSIGNED
881694,OPENED
881700,VEH. DISABLED
881799,OPENED
881800,PREASSIGNED
881874,OPENED
881905,OPENED
881962,OPENED
881971,OPENED
882041,OPENED
882058,PREASSIGNED
AEW8TN148393,OPENED
882084,OPENED
882104,OPENED
882151,OPENED
882189,PREASSIGNED
882289,PREASSIGNED
882296,VEH. DISABLED
882304,OPENED
882319,OPENED
882336,LINE ON HOLD
882343,PREASSIGNED
882400,READY TO POST
882402,READY TO POST
882403,READY TO POST
882404,READY TO POST
882405,PREASSIGNED
882408,READY TO POST
882410,READY TO POST
882412,READY TO POST
882413,READY TO POST
882414,READY TO POST
882416,READY TO POST
882417,READY TO POST
882418,READY TO POST
882419,READY TO POST
882420,READY TO POST
882421,READY TO POST
882422,READY TO POST
882423,READY TO POST
882424,OPENED
882426,READY TO POST
882427,READY TO POST
882429,READY TO POST
882430,PREASSIGNED
882431,READY TO POST
882432,READY TO POST
882433,READY TO POST
BBM4SN369741,READY TO POST
882435,READY TO POST
882436,READY TO POST
882437,READY TO POST
882438,READY TO POST
882439,READY TO POST
882440,READY TO POST
882441,READY TO POST
882442,READY TO POST
882443,READY TO POST
882444,READY TO POST
882445,READY TO POST
882447,READY TO POST
882448,READY TO POST
882449,READY TO POST
882450,READY TO POST
882451,READY TO POST
882452,READY TO POST
882469,READY TO POST
882505,OPENED
882510,READY TO POST
882541,READY TO POST
882544,READY TO POST
882546,READY TO POST
882547,READY TO POST
882548,READY TO POST
AEW9SN132184,READY TO POST
882551,READY TO POST
882552,READY TO POST
882553,READY TO POST
882554,READY TO POST
AEW9TN142845,READY TO POST
882556,READY TO POST
882557,READY TO POST
882558,READY TO POST
882560,READY TO POST
882561,READY TO POST
882562,READY TO POST
882563,OPENED
882564,READY TO POST
882565,READY TO POST
882566,READY TO POST
882567,OPENED
882568,READY TO POST
882569,READY TO POST
882570,READY TO POST
882571,READY TO POST
882572,READY TO POST
882573,READY TO POST
882574,READY TO POST
882575,READY TO POST
882576,VEH. DISABLED
882577,READY TO POST
882578,READY TO POST
882579,READY TO POST
882580,READY TO POST
882581,READY TO POST
882582,READY TO POST
882583,READY TO POST
882584,READY TO POST
882585,OPENED
882586,READY TO POST
882587,READY TO POST
882588,READY TO POST
882589,READY TO POST
882590,READY TO POST
882591,READY TO POST
882592,READY TO POST
882593,READY TO POST
882594,READY TO POST
882595,READY TO POST
882596,READY TO POST
ADW3SN134501,READY TO POST
882598,READY TO POST
882599,READY TO POST
882600,READY TO POST
882601,READY TO POST
882602,READY TO POST
882603,READY TO POST
BDL0TN453531,READY TO POST
882605,READY TO POST
882606,READY TO POST
882608,READY TO POST
882609,READY TO POST
882610,READY TO POST
882611,READY TO POST
882612,READY TO POST
882613,READY TO POST
882614,READY TO POST
882615,READY TO POST
882616,READY TO POST
882617,READY TO POST
882618,READY TO POST
882619,READY TO POST
882620,READY TO POST
882621,READY TO POST
882622,READY TO POST
882623,READY TO POST
882624,READY TO POST
882625,READY TO POST
882626,OPENED
882627,READY TO POST
882628,READY TO POST
882629,READY TO POST
BDL4TN471224,READY TO POST
882632,READY TO POST
882634,READY TO POST
882635,READY TO POST
882636,READY TO POST
882637,READY TO POST
882638,READY TO POST
AEW9TN146667,READY TO POST
882640,READY TO POST
882641,READY TO POST
882642,READY TO POST
882643,OPENED
882644,READY TO POST
882646,READY TO POST
882647,READY TO POST
882648,READY TO POST
882649,READY TO POST
882650,READY TO POST
882652,READY TO POST
882653,READY TO POST
BEMXSN375362,READY TO POST
882655,WORKING
882656,READY TO POST
882669,READY TO POST
882670,READY TO POST
882671,READY TO POST
882674,READY TO POST
882675,READY TO POST
882676,READY TO POST
882677,READY TO POST
882679,OPENED
882680,OPENED
882681,READY TO POST
882682,READY TO POST
882683,OPENED
882684,READY TO POST
BDL4TN471224,READY TO POST
